kernel,H,W,K,TH,TW,width,unroll,reps,ms,gflops,instructions,l1_loads,l1_misses,mpki
combo,1024,1024,3,256,256,128,1,20,2.6521,7.117,576368504,111963219,19296552,33.4795
combo,1024,1024,3,512,512,128,1,20,3.1963,5.905,560414123,110245478,9285582,16.5691
combo,1024,1024,3,0,0,128,1,20,3.8716,4.875,552618588,109438236,6639021,12.0137
combo,1024,1024,3,16,16,128,2,20,4.5078,4.187,1022645028,171649253,21889071,21.4044
combo,1024,1024,3,32,32,128,2,20,4.0397,4.672,708528814,137701412,27717743,39.1201
combo,1024,1024,3,64,64,128,2,20,2.4534,7.693,556709037,122471930,21291131,38.2446
combo,1024,1024,3,128,128,128,2,20,2.3389,8.070,482375260,115357995,19325697,40.0636
combo,1024,1024,3,256,256,128,2,20,2.3686,7.969,445517083,111907020,20250024,45.4529
combo,1024,1024,3,512,512,128,2,20,2.9668,6.362,427215188,110219748,8609198,20.1519
combo,1024,1024,3,0,0,128,2,20,3.9193,4.816,418431669,109468997,5914863,14.1358
combo,1024,1024,3,16,16,256,1,20,4.5847,4.117,829437858,122627540,18072474,21.7888
combo,1024,1024,3,32,32,256,1,20,4.0963,4.608,574834906,88779079,28089088,48.8646
combo,1024,1024,3,64,64,256,1,20,2.4857,7.593,452179447,73449735,24880163,55.0228
combo,1024,1024,3,128,128,256,1,20,1.9483,9.688,392496436,66305445,20103662,51.2200
combo,1024,1024,3,256,256,256,1,20,2.1544,8.761,363100010,62871872,18957969,52.2114
combo,1024,1024,3,512,512,256,1,20,3.0258,6.238,348724078,61249726,13236595,37.9572
combo,1024,1024,3,0,0,256,1,20,4.2535,4.437,341647111,60467601,10297289,30.1401
combo,1024,1024,3,16,16,256,2,20,4.9412,3.820,829601854,122667674,16705161,20.1364
combo,1024,1024,3,32,32,256,2,20,4.1097,4.593,529071115,88690828,27942803,52.8148
combo,1024,1024,3,64,64,256,2,20,2.8051,6.728,384122265,73466804,26323842,68.5299
combo,1024,1024,3,128,128,256,2,20,1.7229,10.955,312961974,66291848,19092686,61.0064
combo,1024,1024,3,256,256,256,2,20,2.2008,8.576,277970593,62878604,17523656,63.0414
combo,1024,1024,3,512,512,256,2,20,3.1451,6.001,260846576,61271917,12397364,47.5274
combo,1024,1024,3,0,0,256,2,20,3.8246,4.935,252087582,60420585,9275102,36.7932
combo,2048,2048,3,16,16,0,1,20,36.2830,2.081,8167622144,1861571282,101692702,12.4507
combo,2048,2048,3,32,32,0,1,20,35.6778,2.116,7171690975,1726029214,109704339,15.2969
combo,2048,2048,3,64,64,0,1,20,37.5046,2.013,6694905040,1665303620,107070438,15.9928
combo,2048,2048,3,128,128,0,1,20,34.1779,2.209,6460699136,1636432090,101122169,15.6519
combo,2048,2048,3,256,256,0,1,20,35.2658,2.141,6347506005,1623042976,89404892,14.0850
combo,2048,2048,3,512,512,0,1,20,35.5597,2.123,6290445014,1616283734,84286857,13.3992
combo,2048,2048,3,0,0,0,1,20,44.9964,1.678,6249736637,1611758068,40648404,6.5040
combo,2048,2048,3,16,16,0,2,20,37.6717,2.004,7648726229,1861614989,101585950,13.2814
combo,2048,2048,3,32,32,0,2,20,34.6226,2.181,6651830958,1725834739,107653638,16.1841
combo,2048,2048,3,64,64,0,2,20,34.8564,2.166,6175861230,1665291409,98099189,15.8843
