kernel,M,N,K,dist,hint,enable,tile,reps,ms,gflops,instructions,l1_misses,l2_misses,llc_misses,sw_prefetch_access
prefetch,2048,2048,2048,8,3,1,256,5,1681.73,10.216,151928525094,38717487,1075127763,221582,5652021915
prefetch,2048,2048,2048,16,3,1,256,5,1595.3061,10.769,151923620217,39798350,1089133082,318778,5650698572
prefetch,2048,2048,2048,32,3,1,256,5,1639.0475,10.482,151925696664,49109240,1028643513,1319588,5640517216
prefetch,2048,2048,2048,64,3,1,256,5,1606.0467,10.697,151922447690,58079167,1006930578,1737204,5640604317
prefetch,2048,2048,2048,128,3,1,256,5,1523.0566,11.28,151918693947,90195946,988708825,2074485,5641893877
prefetch,2048,2048,2048,256,3,1,256,5,1517.9189,11.318,151916582296,141954584,956934583,1682180,5641220055
prefetch,2048,2048,2048,512,3,1,256,5,1529.7885,11.23,151917048851,245553851,919908690,1746691,5642261004
prefetch,2048,2048,2048,1024,3,1,256,5,1628.3084,10.551,151924008622,924925737,946718396,6484121,5650201365
