kernel,M,N,K,dist,hint,enable,tile,reps,ms,gflops,instructions,l1_misses,l2_misses,llc_misses,sw_prefetch_access
optimized,2048,2048,2048,8,3,1,256,5,722.0677,23.793,21359200095,602027461,904738680,4399636,1884468479
optimized,2048,2048,2048,16,3,1,256,5,705.5039,24.351,21357247394,74146362,846611199,419295,1884288183
optimized,2048,2048,2048,32,3,1,256,5,600.9195,28.589,21350175174,98883442,762084239,414484,1884388813
optimized,2048,2048,2048,64,3,1,256,5,552.4141,31.1,21346782466,106127421,815641648,553249,1884328310
optimized,2048,2048,2048,128,3,1,256,5,548.6335,31.314,21346580111,135908237,818588245,725714,1884200253
optimized,2048,2048,2048,256,3,1,256,5,560.4176,30.655,21346974082,197702565,777593919,828859,1884390215
optimized,2048,2048,2048,512,3,1,256,5,569.3533,30.174,21354670589,318072395,756637915,2023855,1883883628
optimized,2048,2048,2048,1024,3,1,256,5,653.2802,26.298,21353112775,1193444638,992771094,1874114,1884630150
