kernel,M,N,K,dist,hint,enable,tile,reps,ms,gflops,instructions,l1_misses,l2_misses,llc_misses,sw_prefetch_access
prefetch,2048,2048,2048,512,0,1,256,5,2250.6688,7.633,174514981572,225845207,927229869,2430926,5638361882
prefetch,2048,2048,2048,512,1,1,256,5,1583.7395,10.848,148163200715,1362215647,916105540,3219252,5652028954
prefetch,2048,2048,2048,512,2,1,256,5,1739.9391,9.874,150050018621,1368844338,916285417,3198544,5657523780
prefetch,2048,2048,2048,512,3,1,256,5,1527.432,11.248,151917183247,243871529,913700128,1762911,5642259489
