kernel,M,N,K,dist,hint,enable,tile,reps,ms,gflops,instructions,l1_misses,l2_misses,llc_misses,sw_prefetch_access
optimized,2048,2048,2048,512,0,1,256,5,551.1438,31.171,20876690800,342933401,908733323,2236039,1887608203
optimized,2048,2048,2048,512,1,1,256,5,719.7728,23.868,20418566026,1505073185,901384738,2425133,1887646163
optimized,2048,2048,2048,512,2,1,256,5,734.1184,23.402,21359065741,1506163275,904385933,2396489,1887899514
optimized,2048,2048,2048,512,3,1,256,5,568.0635,30.243,21347957821,321376397,737139528,1127809,1884343176
