kernel,H,W,K,TH,TW,width,unroll,reps,ms,gflops,instructions,l1_loads,l1_misses,mpki
combo,1024,1024,3,16,16,128,2,20,2.2549,8.371,,,,
combo,1024,1024,3,32,32,128,2,20,2.1393,8.823,,,,
combo,1024,1024,3,64,64,128,2,20,1.1219,16.824,,,,
combo,1024,1024,3,128,128,128,2,20,1.0720,17.606,,,,
combo,1024,1024,3,256,256,128,2,20,1.5576,12.117,,,,
combo,1024,1024,3,512,512,128,2,20,1.9147,9.858,,,,
combo,1024,1024,3,0,0,128,2,20,1.4745,12.801,,,,
combo,1024,1024,3,16,16,256,1,20,2.6211,7.201,,,,
combo,1024,1024,3,32,32,256,1,20,2.1058,8.963,,,,
combo,1024,1024,3,64,64,256,1,20,1.3400,14.086,,,,
combo,1024,1024,3,128,128,256,1,20,0.9858,19.146,,,,
combo,1024,1024,3,256,256,256,1,20,1.4833,12.725,,,,
combo,1024,1024,3,512,512,256,1,20,1.9293,9.783,,,,
combo,1024,1024,3,0,0,256,1,20,1.4691,12.848,,,,
combo,1024,1024,3,16,16,256,2,20,2.3629,7.988,,,,
combo,1024,1024,3,32,32,256,2,20,2.0615,9.156,,,,
combo,1024,1024,3,64,64,256,2,20,1.3938,13.542,,,,
combo,1024,1024,3,128,128,256,2,20,0.8353,22.595,,,,
combo,1024,1024,3,256,256,256,2,20,1.4352,13.151,,,,
combo,1024,1024,3,512,512,256,2,20,1.8939,9.966,,,,
combo,1024,1024,3,0,0,256,2,20,1.6366,11.533,,,,
tile,1024,1024,3,16,16,0,0,20,2.7564,6.847,,,,
tile,1024,1024,3,32,32,0,0,20,2.5814,7.312,,,,
tile,1024,1024,3,64,64,0,0,20,2.5220,7.484,,,,
tile,1024,1024,3,128,128,0,0,20,2.5420,7.425,,,,
tile,1024,1024,3,256,256,0,0,20,2.7439,6.879,,,,
tile,1024,1024,3,512,512,0,0,20,2.7209,6.937,,,,
naive,2048,2048,3,0,0,0,0,20,13.8712,5.443,,,,
reorder,2048,2048,3,0,0,0,0,20,13.0005,5.807,,,,
unroll,2048,2048,3,0,0,0,0,20,12.0794,6.250,,,,
simd,2048,2048,3,0,0,0,0,20,8.4243,8.962,,,,
simd128,2048,2048,3,0,0,0,0,20,9.6103,7.856,,,,
simd256,2048,2048,3,0,0,0,0,20,9.0985,8.298,,,,
optimized,2048,2048,3,0,0,0,0,20,3.2939,22.920,,,,
combo,2048,2048,3,16,16,0,1,20,19.4146,3.889,,,,
